"","name","type","lon","lat","address","zip"
"298","Egg","mm",8.6920507,47.3028535,"Gewerbestrasse 2-10","8132"
"299","Eglisau","shell",8.5159717,47.5808035,"Schaffhauserstrasse 39","8193"
"300","Eglisau-Nord","m",8.5139362,47.5792535,"Bauelenzelgstrasse 16","8193"
"301","Egnach","mgls",9.371741,47.5490761,"Romanshornerstr. 129","9322"
"302","Egolzwil - Schötz","m",7.9838253,47.1826526,"Grosmatt 1","6243"
"303","Einsiedeln","mm",8.7459076,47.1287061,"Eisenbahnstrasse 2","8840"
"304","Einsiedeln","mig",8.7441361,47.1279567,"Bahnhofplatz 1","8840"
"305","Elgg","m",8.8617399,47.4983247,"St. Gallerstrasse 16","8353"
"306","Embrach","mm",8.5917376,47.5101139,"Bülacherstrasse 17","8424"
"307","Emmen - Kapf","m",8.2738074,47.0898808,"Kapfstrasse 3","6020"
"308","Emmen - Wohncenter","mm",8.2930347,47.0737906,"Seetalstrasse 50","6020"
"309","Emmenbrücke","mgls",8.2792234,47.0724171,"Gerliswilstrasse 24","6020"
"310","Emmenbrücke - Sonnenplatz","mm",8.2752688,47.0779516,"Sonnenplatz 1","6020"
"311","Engelberg","m",8.4057173,46.8207122,"Klosterstrasse 5","6390"
"312","Epalinges","mm",6.6708585,46.5485622,"Place de la Croix-Blanche 11","1066"
"313","Erde","dmp",7.2878921,46.2376096,"Scex-Riond / CP 48","1976"
"314","Erlenbach - Erlibacher Märt","m",8.5904643,47.3070068,"Bahnhofstrasse 42","8703"
"315","Erlinsbach","m",8.0084956,47.4053477,"Zentrum Rössli","5018"
"316","Erstfeld","m",8.6500662,46.8251526,"Gotthardstrasse 144","6472"
