"","name","type","lon","lat","address","zip"
"278","Flawil","mm",9.1863798,47.4130548,"Magdenauerstrasse 10","9230"
"279","Flawil","mig",9.1890751,47.4155516,"Bahnhofplatz 8","9230"
"280","Fleurier","mm",6.5805278,46.9020353,"Grand-Rue 27","2114"
"281","Forch","shell",8.6666553,47.3176005,"Forchstrasse","8127"
"282","Fornasette","pica",8.7995044,45.9923867,"Via Cantonale 128","6996"
"283","Frauenfeld - Bahnhofstrasse","mig",8.896282,47.5572448,"Bahnhofstrasse 76a","8500"
"284","Frauenfeld - Multiplex","m",8.9052823,47.565858,"Langfeldstrasse 53a","8500"
"285","Frauenfeld - Passage","mm",8.8963904,47.557151,"Bahnhofplatz 70-72","8500"
"286","Frauenfeld - Zeughausstrasse","m",8.900735,47.5597074,"Zürcherstrasse 227","8500"
"287","Frauenfeld - Zürcherstrasse 276","mgls",8.9055846,47.5620839,"Zürcherstrasse 276","8500"
"288","Frauenfeld - Zürcherstrasse 291","shell",8.9077074,47.5633973,"Zürcherstrasse 291","8500"
"289","Freienbach","shell",8.7642881,47.2040089,"Kantonsstrasse 149","8807"
"290","Frenkendorf","mig",7.7192242,47.5015382,"Güterstrasse 1","4402"
"291","Fribourg - Beauregard","m",7.1444374,46.8006068,"Chemin de Béthléem 7","1700"
"292","Fribourg - Pérolles","mm",7.152315,46.7997003,"Boulevard de Pérolles 21 A","1700"
"293","Fribourg - Schoenberg","m",7.1723464,46.8097786,"Chemin Cité-des-Jardins 13A","1700"
"294","Fribourg - St. Pierre M-Express","m",7.1543652,46.8034025,"Rue St-Pierre 2","1700"
"295","Fribourg AMAG","soca",7.1337955,46.7992026,"Route de Villars 108","1752"
"296","Fribourg Jura","soca",7.139124,46.8114955,"Route du Jura 73","1700"
"297","Fribourg Ste-Thérèse","mm",7.1490104,46.8101267,"Route de Sainte-Thérèse 2a","1700"
"298","Frick","m",8.0188978,47.5080226,"Hauptstrasse 44","5070"
"299","Frutigen","m",7.6483603,46.5856019,"Kanderstegstrasse 31","3714"
"300","Fully","m",7.1195505,46.136455,"Rue de Provence 4","1926"
"301","Fällanden","m",8.6409527,47.3739538,"Unterdorfstrasse 2","8117"
"302","Füllinsdorf","mgls",7.7213368,47.5076558,"Rheinstrasse 46","4414"
"303","Füllinsdorf","soca",7.7226765,47.4993352,"Rheinstrasse 2","4414"
"304","Füllinsdorf - Schönthal","mm",7.7251059,47.502619,"Ergolzstrasse 2","4414"
"305","Gandria","pica",9.0059322,46.0073342,"Strada Cantonale","6978"
"306","Gd Saconnex - Le Pommier","m",6.1195597,46.2285152,"Rue Sonnex 20","1218"
